Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Esquizofrenia_paranoide,hipervigilancia,contacto_visual_bajo,abulia_trabajo_estudio,anhedonia_relaciones_amigos,control_pensamiento,paranoia intensa,alucinaciones,expresion_facial_reducida,alogia,eco del pensamiento,atencion_deterioro,procesamiento_info_deficit,hipoexpresividad emocional,temblores,desorganización del pensamiento,gesticulacion_reducida,cambios_en_el_apetito
Esquizofrenia_paranoide,disnea,anhedonia_relaciones_amigos,anhedonia_relaciones_familia,procesamiento_info_deficit,nerviosismo,anergia_fisica,temblores,sueño_o_fatiga,disminucion_del_libido,anhedonia,ideas_delirantes,lenguaje desorganizado,sudoracion,dificultades en teoría de la mente,anhedonia_intereses_sexuales,comportamiento social inadecuado,desorganización del pensamiento
Esquizofrenia_paranoide,contacto_visual_bajo,anhedonia_intereses_recreativos,abulia_higiene,sueño_o_fatiga,comportamiento social inadecuado,anergia_fisica,eco del pensamiento,tristeza,paranoia intensa,alogia_pobreza_contenido,ideas_suicidas,alogia_bloqueos_pensamiento,anhedonia_intereses_sexuales,comportamiento motor desorganizado,irritabilidad,catatonía,cambios_en_el_apetito
Esquizofrenia_paranoide,eco del pensamiento,desorganización del pensamiento,gesticulacion_reducida,anhedonia_intereses_recreativos,lenguaje desorganizado,expresion_facial_reducida,abulia,obsesiones_presencia,sueño_o_fatiga,cambios_en_el_apetito,abulia_higiene,atencion_deterioro,anhedonia_relaciones_familia,catatonía,alucinaciones,dificultades en teoría de la mente,contacto_visual_bajo
Esquizofrenia_paranoide,tristeza,contacto_visual_bajo,abulia,irritabilidad,anhedonia_relaciones_familia,anergia_fisica,ideas_suicidas,afectividad_inapropiada,sueño_o_fatiga,hipervigilancia,cambios_en_el_apetito,temblores,anhedonia_intereses_sexuales,anhedonia,preocupacion,lenguaje desorganizado,ideas_delirantes
Esquizofrenia_paranoide,catatonía,lenguaje desorganizado,abulia_higiene,preocupacion,gesticulacion_reducida,hipoexpresividad emocional,memoria_deterioro,sueño_o_fatiga,comportamiento social inadecuado,alogia,anhedonia,obsesiones_presencia,taquicardia,anergia_fisica,alucinaciones,procesamiento_info_deficit,anhedonia_relaciones_familia
Esquizofrenia_paranoide,abulia_trabajo_estudio,disminucion_del_libido,anhedonia_sociabilidad,gesticulacion_reducida,alogia_pobreza_habla,anergia_fisica,anhedonia_intereses_sexuales,temblores,procesamiento_info_deficit,anhedonia_intereses_recreativos,tristeza,nerviosismo,anhedonia,hipoexpresividad emocional,ideas_delirantes,sentimiento_de_culpa,contacto_visual_bajo
Esquizofrenia_paranoide,obsesiones_presencia,comportamiento social inadecuado,afectividad_inapropiada,lenguaje desorganizado,ideas_delirantes,sueño_o_fatiga,sentimiento_de_culpa,alogia_pobreza_contenido,anhedonia_intereses_sexuales,hipoexpresividad emocional,disminucion_del_libido,anhedonia_intereses_recreativos,ideas_suicidas,temblores,sudoracion,procesamiento_info_deficit,preocupacion
Esquizofrenia_paranoide,contacto_visual_bajo,anhedonia_relaciones_amigos,sentimiento_de_culpa,alucinaciones,alogia_pobreza_habla,taquicardia,anergia_fisica,abulia_trabajo_estudio,control_pensamiento,paranoia intensa,sudoracion,tristeza,alogia,hipoexpresividad emocional,ideas_delirantes,procesamiento_info_deficit,obsesiones_presencia
Esquizofrenia_paranoide,tristeza,sueño_o_fatiga,expresion_facial_reducida,disnea,hipoexpresividad emocional,gesticulacion_reducida,ideas_delirantes,alogia,dificultad_de_concetracion,procesamiento_info_deficit,memoria_deterioro,cambios_en_el_apetito,afectividad_inapropiada,desorganización del pensamiento,alogia_pobreza_habla,alucinaciones,anhedonia_relaciones_amigos
Esquizofrenia_desorganizada,abulia_higiene,control_pensamiento,ideas_delirantes,hipoexpresividad emocional,hipervigilancia,ideas_suicidas,comportamiento social inadecuado,sudoracion,desorganización del pensamiento,expresion_facial_reducida,afectividad_inapropiada,comportamiento motor desorganizado,preocupacion,anhedonia_relaciones_familia,obsesiones_presencia,sueño_o_fatiga,anhedonia
Esquizofrenia_desorganizada,alucinaciones,alogia_pobreza_contenido,memoria_deterioro,disnea,paranoia intensa,pensamientos_intrusivos,afectividad_inapropiada,ideas_delirantes,anergia_fisica,comportamiento social inadecuado,tristeza,dificultad_de_concetracion,sentimiento_de_culpa,contacto_visual_bajo,preocupacion,comportamiento motor desorganizado,anhedonia
Esquizofrenia_desorganizada,anhedonia_relaciones_familia,anhedonia_intereses_recreativos,alogia_bloqueos_pensamiento,dificultad_de_concetracion,alogia_pobreza_contenido,disminucion_del_libido,memoria_deterioro,procesamiento_info_deficit,gesticulacion_reducida,afectividad_inapropiada,obsesiones_presencia,contacto_visual_bajo,pensamientos_intrusivos,anergia_fisica,eco del pensamiento,preocupacion,control_pensamiento
