Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal Infection,disminucion_del_libido,gesticulacion_reducida,comportamiento social inadecuado,abulia_higiene,hipoexpresividad emocional,comportamiento social inadecuado,preocupacion,hipoexpresividad emocional,abulia_higiene,disminucion_del_libido,alogia_pobreza_habla,abulia_higiene,control_pensamiento,hipoexpresividad emocional,alucinaciones,irritabilidad,irritabilidad
Fungal Infection,anhedonia_intereses_sexuales,alucinaciones,dificultades en teoría de la mente,temblores,alogia_pobreza_contenido,sudoracion,sueño_o_fatiga,disnea,sudoracion,catatonía,anhedonia_relaciones_amigos,desorganización del pensamiento,dificultades en teoría de la mente,dificultades en teoría de la mente,dificultad_de_concetracion,ideas_suicidas,abulia
Fungal Infection,gesticulacion_reducida,control_pensamiento,anergia_fisica,afectividad_inapropiada,sentimiento_de_culpa,desorganización del pensamiento,taquicardia,procesamiento_info_deficit,alogia,sentimiento_de_culpa,sueño_o_fatiga,anergia_fisica,obsesiones_presencia,contacto_visual_bajo,eco del pensamiento,atencion_deterioro,desorganización del pensamiento
Fungal Infection,nerviosismo,expresion_facial_reducida,hipervigilancia,sudoracion,nerviosismo,desorganización del pensamiento,disminucion_del_libido,anhedonia_relaciones_amigos,anhedonia_intereses_sexuales,alogia_pobreza_habla,gesticulacion_reducida,tristeza,expresion_facial_reducida,disminucion_del_libido,abulia_higiene,sentimiento_de_culpa,hipervigilancia
Fungal Infection,paranoia intensa,sueño_o_fatiga,hipervigilancia,catatonía,pensamientos_intrusivos,alogia_pobreza_contenido,alucinaciones,alogia_pobreza_habla,anhedonia_intereses_recreativos,comportamiento social inadecuado,pensamientos_intrusivos,anhedonia_intereses_sexuales,abulia_higiene,tristeza,anhedonia,abulia,alogia_bloqueos_pensamiento
Fungal Infection,alogia_bloqueos_pensamiento,irritabilidad,anergia_fisica,contacto_visual_bajo,cambios_en_el_apetito,gesticulacion_reducida,abulia,ideas_delirantes,comportamiento motor desorganizado,alogia_pobreza_contenido,comportamiento social inadecuado,sueño_o_fatiga,afectividad_inapropiada,gesticulacion_reducida,anhedonia_relaciones_familia,alogia,dificultades en teoría de la mente
Fungal Infection,disminucion_del_libido,alucinaciones,eco del pensamiento,dificultad_de_concetracion,anhedonia_relaciones_amigos,anhedonia,eco del pensamiento,pensamientos_intrusivos,disminucion_del_libido,sueño_o_fatiga,ideas_delirantes,taquicardia,alucinaciones,abulia_higiene,gesticulacion_reducida,afectividad_inapropiada,abulia_higiene
Fungal Infection,alogia_pobreza_habla,sueño_o_fatiga,sentimiento_de_culpa,sentimiento_de_culpa,dificultades en teoría de la mente,atencion_deterioro,sudoracion,comportamiento social inadecuado,irritabilidad,comportamiento social inadecuado,comportamiento motor desorganizado,alogia_pobreza_contenido,gesticulacion_reducida,cambios_en_el_apetito,comportamiento motor desorganizado,memoria_deterioro,anhedonia_sociabilidad
Fungal Infection,abulia_higiene,sueño_o_fatiga,disminucion_del_libido,alogia_pobreza_contenido,anhedonia_relaciones_familia,anhedonia_relaciones_amigos,sueño_o_fatiga,dificultad_de_concetracion,dificultades en teoría de la mente,anhedonia_intereses_sexuales,tristeza,temblores,ideas_delirantes,paranoia intensa,procesamiento_info_deficit,alogia_pobreza_contenido,anhedonia_relaciones_amigos
Fungal Infection,eco del pensamiento,alogia_bloqueos_pensamiento,anhedonia,abulia_trabajo_estudio,anergia_fisica,abulia_trabajo_estudio,cambios_en_el_apetito,pensamientos_intrusivos,ideas_delirantes,anhedonia_relaciones_amigos,alucinaciones,sentimiento_de_culpa,alogia,anhedonia,disminucion_del_libido,abulia_higiene,obsesiones_presencia
Allergy,eco del pensamiento,disnea,expresion_facial_reducida,temblores,anhedonia_intereses_sexuales,abulia_higiene,anhedonia,abulia_trabajo_estudio,hipoexpresividad emocional,alogia_pobreza_contenido,sudoracion,catatonía,disminucion_del_libido,abulia,afectividad_inapropiada,anhedonia_intereses_recreativos,lenguaje desorganizado
Allergy,abulia_trabajo_estudio,anhedonia_intereses_sexuales,disminucion_del_libido,desorganización del pensamiento,abulia_trabajo_estudio,comportamiento motor desorganizado,anhedonia_sociabilidad,eco del pensamiento,sueño_o_fatiga,obsesiones_presencia,anhedonia_relaciones_familia,abulia,abulia,desorganización del pensamiento,tristeza,sudoracion,anhedonia
Allergy,sentimiento_de_culpa,desorganización del pensamiento,dificultad_de_concetracion,taquicardia,disminucion_del_libido,control_pensamiento,hipoexpresividad emocional,ideas_delirantes,anhedonia_sociabilidad,ideas_delirantes,anhedonia_intereses_recreativos,alogia,anhedonia_intereses_recreativos,procesamiento_info_deficit,sentimiento_de_culpa,anhedonia,dificultades en teoría de la mente
Allergy,dificultad_de_concetracion,hipervigilancia,alucinaciones,lenguaje desorganizado,alogia_bloqueos_pensamiento,sentimiento_de_culpa,catatonía,alucinaciones,ideas_suicidas,temblores,taquicardia,alogia_bloqueos_pensamiento,anhedonia_relaciones_amigos,anhedonia_sociabilidad,control_pensamiento,catatonía,hipervigilancia
Allergy,abulia_trabajo_estudio,dificultades en teoría de la mente,obsesiones_presencia,anhedonia_intereses_recreativos,ideas_suicidas,disnea,paranoia intensa,anhedonia_intereses_recreativos,alogia_pobreza_contenido,anhedonia_relaciones_amigos,cambios_en_el_apetito,abulia,hipoexpresividad emocional,alogia_pobreza_habla,dificultad_de_concetracion,ideas_suicidas,desorganización del pensamiento
Allergy,control_pensamiento,anhedonia_intereses_recreativos,anhedonia_relaciones_amigos,desorganización del pensamiento,comportamiento motor desorganizado,catatonía,sudoracion,obsesiones_presencia,dificultad_de_concetracion,abulia_higiene,catatonía,disminucion_del_libido,control_pensamiento,nerviosismo,eco del pensamiento,alogia_pobreza_contenido,disminucion_del_libido
Allergy,abulia,alogia_bloqueos_pensamiento,comportamiento social inadecuado,hipervigilancia,preocupacion,abulia,abulia_higiene,ideas_suicidas,dificultades en teoría de la mente,lenguaje desorganizado,sudoracion,comportamiento social inadecuado,control_pensamiento,nerviosismo,anhedonia_intereses_recreativos,ideas_suicidas,cambios_en_el_apetito
Allergy,ideas_delirantes,irritabilidad,tristeza,disminucion_del_libido,preocupacion,expresion_facial_reducida,anhedonia,anhedonia_relaciones_amigos,contacto_visual_bajo,alogia,contacto_visual_bajo,eco del pensamiento,taquicardia,tristeza,disnea,temblores,dificultad_de_concetracion
Allergy,abulia_trabajo_estudio,catatonía,hipoexpresividad emocional,sueño_o_fatiga,ideas_delirantes,disnea,pensamientos_intrusivos,catatonía,gesticulacion_reducida,abulia,irritabilidad,comportamiento social inadecuado,anhedonia,taquicardia,anhedonia_intereses_recreativos,eco del pensamiento,alucinaciones
Allergy,pensamientos_intrusivos,control_pensamiento,anhedonia_relaciones_familia,ideas_delirantes,obsesiones_presencia,anhedonia_intereses_sexuales,anhedonia_sociabilidad,abulia,hipoexpresividad emocional,cambios_en_el_apetito,expresion_facial_reducida,anhedonia,obsesiones_presencia,alogia_pobreza_contenido,sudoracion,catatonía,procesamiento_info_deficit
GERD,anhedonia_relaciones_amigos,taquicardia,sueño_o_fatiga,nerviosismo,paranoia intensa,irritabilidad,comportamiento motor desorganizado,anhedonia,irritabilidad,obsesiones_presencia,atencion_deterioro,anhedonia_relaciones_amigos,contacto_visual_bajo,temblores,alogia_pobreza_habla,sueño_o_fatiga,disnea
